Service,Gender,Installation or Command Location,Avg. Pop. (FY14),Sexual Assault Risk,Estimated Sexual Assaults,Installation- Specific Risk
Army,Men,Fort Lewis,25735,1.30%,331,0.10%
Army,Men,Fort Myer,1992,1.70%,34,0.10%
Army,Men,Fort Polk,6937,1.20%,85,0.00%
Army,Men,Fort Richardson,5979,1.30%,76,0.00%
Army,Men,Fort Riley,15181,1.50%,222,0.10%
Army,Men,Fort Rucker,3164,0.60%,18,-0.10%
Army,Men,Fort Sam Houston,6213,0.70%,44,0.00%
Army,Men,Fort Shafter,2129,0.50%,12,-0.10%
Army,Men,Fort Sill,8375,1.10%,94,-0.10%
Army,Men,Fort Stewart,14265,1.40%,198,0.10%
Army,Men,Germany,665,0.80%,5,-0.10%
Army,Men,Goodfellow AFB,506,1.40%,7,0.00%
Army,Men,"H D Smith Barracks,",1350,0.80%,11,-0.10%
Army,Men,Hickam AFB,450,0.60%,3,-0.10%
Army,Men,Hunter Army Airfield,4264,1.10%,48,-0.10%
Army,Men,Italy,491,1.80%,9,0.30%
Army,Men,Kaiserslautern (GR),1846,0.90%,16,0.10%
Army,Men,Lackland AFB,398,0.90%,4,-0.10%
Army,Men,Landstuhl Med Ctr (GR),868,0.80%,7,0.10%
Army,Men,MacDill AFB,1203,0.30%,4,-0.10%
Army,Men,NNMC Bethesda,824,0.40%,4,-0.10%
Army,Men,Okinawa (JA),1056,1.10%,12,0.10%
Army,Men,Osan AB (KS),573,1.40%,8,0.20%
Army,Men,"Panzer Kaserne, Boblingen (GR)",688,0.80%,6,-0.10%
Army,Men,Pentagon,402,0.30%,1,-0.10%
Army,Men,Peterson AFB,311,0.50%,2,-0.10%
Army,Men,Postal Area 0,398,0.40%,1,-0.10%
Army,Men,Postal Area 1,566,0.50%,3,-0.10%
Army,Men,Postal Area 2,2797,0.40%,10,-0.10%
Army,Men,Postal Area 3,2058,0.60%,13,-0.10%
Army,Men,Postal Area 4,1010,0.40%,4,-0.10%
Army,Men,Postal Area 5,446,0.50%,2,-0.20%
Army,Men,Postal Area 6,652,0.40%,3,-0.20%
Army,Men,Postal Area 7,1233,0.60%,8,-0.10%
Army,Men,Postal Area 8,930,0.50%,5,-0.10%
Army,Men,Postal Area 9,1442,0.40%,6,-0.10%
Army,Men,Presidio of Monterey,1501,0.90%,14,-0.10%
Army,Men,Redstone Arsenal,540,0.40%,2,0.00%
Army,Men,Rock Island Arsenal,311,0.30%,1,0.00%
Army,Men,"Rose Barracks, Vilseck (GR)",4929,1.70%,82,0.10%
Army,Men,Sacramento Army Depot,286,0.30%,1,0.00%
Army,Men,Schofield Barracks,13355,1.10%,152,-0.10%
Army,Men,Schweinfurt (GR),456,0.90%,4,-0.20%
Army,Men,Sembach (GR),541,0.70%,4,0.00%
Army,Men,Shape Casteau (BE),290,0.60%,2,0.00%
Army,Men,Shaw AFB,943,0.40%,4,-0.10%
Army,Men,South Korea,2374,0.90%,21,0.00%
Army,Men,"Storck Barracks, Illesheim (GR)",866,1.00%,9,-0.10%
Army,Men,Tokyo (JA),694,0.60%,4,-0.10%
Army,Men,Tripler Army Med Ctr,1396,0.60%,9,0.00%
Army,Men,United States,6685,0.90%,57,0.00%
Army,Men,Unknown AP,612,1.30%,8,0.20%
Army,Men,USAG Bavaria Tower Barracks,2396,1.20%,28,0.00%
Army,Men,USAG Hohenfels (GR),1415,1.20%,17,0.00%
Army,Men,USAG West Point,1340,0.70%,10,0.00%
Army,Men,Vaihingen (GR),495,0.50%,2,-0.10%
Army,Men,Walter Reed Army Med Ctr,188,0.30%,1,0.00%
Army,Men,Wiesbaden (GR),2472,0.70%,16,-0.10%
Army,Men,Yongsan (KS),3242,0.80%,27,-0.10%
Navy,Women,29 Palms MC Cmbt Ctr,135,3.20%,4,-0.20%
Navy,Women,Annapolis NSA (Incl. USNA),207,3.10%,6,-1.00%
Navy,Women,Bahrain,425,7.10%,30,-0.90%
Navy,Women,Beaufort MCAS,202,5.20%,10,0.40%
Navy,Women,Camp Lejeune MCB,569,3.80%,21,-0.20%
Navy,Women,Camp Pendleton,639,3.60%,23,-0.30%
Navy,Women,Coronado Nav Amphib Base,506,4.50%,23,-0.60%
Navy,Women,Corry Station NTTC,381,7.80%,30,-3.10%
Navy,Women,Dam Neck Trng Ctr Atlantic,385,4.70%,18,-0.90%
Navy,Women,Fallon NAS,115,5.60%,6,-0.40%
Navy,Women,Fleet ASW Trng Ctr Pacific,205,4.00%,8,-0.40%
Navy,Women,Fort George G. Meade,507,4.30%,22,-1.70%
Navy,Women,Fort Gordon,387,6.90%,27,-0.60%
Navy,Women,Fort Sam Houston,634,5.10%,32,-1.70%
Navy,Women,Fort Story,292,3.70%,11,-0.80%
Navy,Women,Guam,353,6.70%,24,0.70%
Navy,Women,Guantanamo Bay (CU),120,5.60%,7,-1.50%
Navy,Women,Gulfport NCBC,262,5.20%,14,-1.20%
Navy,Women,Jacksonville NAS,1125,4.60%,52,-1.00%
Navy,Women,Japan,372,13.50%,50,4.80%
Navy,Women,JB Anacostia-Bolling,112,3.50%,4,-0.60%
Navy,Women,Kings Bay NAVSUBBASE,183,6.60%,12,-1.20%
Navy,Women,Lackland AFB,226,7.50%,17,-0.90%
Navy,Women,Lemoore NAS,547,5.70%,31,-1.10%
Navy,Women,Little Creek Nav Amphib Base,610,4.40%,27,-0.80%
Navy,Women,Mayport NAVSTA,420,5.40%,22,-0.70%
Navy,Women,MCBH Kaneohe Bay,195,7.80%,15,1.20%
Navy,Women,Meridian NAS,156,6.00%,9,-1.60%
Navy,Women,Naples (IT),391,5.20%,20,-0.40%
Navy,Women,Naval Hospital Bremerton,202,3.60%,7,-1.10%
Navy,Women,Naval Hospital Pensacola,238,4.10%,10,-0.30%
Navy,Women,Naval Med Ctr Portsmouth,1233,3.80%,47,-1.10%
Navy,Women,Naval Med Ctr San Diego,1112,3.40%,38,-1.00%
Navy,Women,Naval Station Everett,149,5.70%,8,-1.30%
Navy,Women,Naval Station Great Lakes,2490,6.10%,152,-2.70%
Navy,Women,Naval Station Newport,366,3.90%,14,-0.90%
Navy,Women,Naval Station Rota (SP),228,4.70%,11,-1.20%
Navy,Women,NAVCAMS E. Pacific,127,6.90%,9,-0.80%
Navy,Women,Navy Mobile Units - AA,699,5.90%,41,-0.90%
Navy,Women,Navy Mobile Units - AE,152,5.70%,9,0.20%
Navy,Women,NB Kitsap-Bangor,242,6.30%,15,-1.40%
Navy,Women,NB Kitsap-Bremerton,134,5.30%,7,-1.00%
Navy,Women,NB Pearl Harbor,576,4.10%,23,-0.90%
Navy,Women,New London NAVSUBBASE,141,5.10%,7,-0.60%
Navy,Women,NNMC Bethesda,823,2.80%,23,-1.00%
Navy,Women,Norfolk NB,3359,4.80%,162,-1.30%
Navy,Women,North Island NAS,1371,5.40%,74,-0.80%
Navy,Women,NSA Charleston,501,17.10%,85,3.50%
Navy,Women,Oceana NAS,861,5.20%,45,-1.60%
Navy,Women,Okinawa (JA),313,4.00%,13,-1.30%
Navy,Women,Patuxent River NAS,280,4.70%,13,-1.20%
Navy,Women,Pensacola NAS,1045,5.80%,61,-3.20%
Navy,Women,Port Hueneme NCBC,173,4.50%,8,-0.70%
Navy,Women,Postal Area 2,427,2.90%,13,-0.50%
Navy,Women,Postal Area 3,222,2.30%,5,-0.50%
Navy,Women,Postal Area 9,134,3.90%,5,-0.20%
Navy,Women,Presidio of Monterey,218,7.00%,15,-4.40%
Navy,Women,Point Mugu NAS,122,6.20%,8,0.20%
Navy,Women,San Diego NAVSTA,1478,5.10%,76,-0.90%
Navy,Women,San Diego NAVSUBBASE,166,3.90%,7,-0.70%
Navy,Women,Sigonella (IT),288,6.30%,18,-0.60%
Navy,Women,Tinker AFB,197,8.20%,16,0.60%
Navy,Women,United States,3097,6.80%,210,0.30%
Navy,Women,USS Abraham Lincoln,616,11.00%,68,2.60%
Navy,Women,USS Carl Vinson,503,8.50%,43,0.20%
Navy,Women,USS Dwight D. Eisenhower,764,8.30%,63,-1.30%
Navy,Women,USS George H. W. Bush,687,11.20%,77,0.70%
Navy,Women,USS George Washington,508,15.70%,80,2.80%
Navy,Women,USS Harry S. Truman,685,11.60%,79,0.60%
Navy,Women,USS John C. Stennis,508,11.10%,56,2.20%
Navy,Women,USS Nimitz,643,12.40%,80,0.90%
Navy,Women,USS Ronald Reagan,772,10.10%,78,1.10%
Navy,Women,USS Theodore Roosevelt,772,12.10%,93,2.80%
Navy,Women,USS Wasp,217,7.60%,17,0.70%
Navy,Women,Various AE Aviation Squadrons,193,9.00%,17,1.60%
Navy,Women,"Various AE Ships 09578: USNS 1st Lt Harry L Martin TAK 3015, USNS William McLean TAKE 12, USS Mahan DDG 72, USS Maryland SSBN 738, USS Mason DDG 87, USS McFaul DDG 74, USS Mesa Verde LPD 19, USS Minnesota SSN 783, USS Missouri SSN 780, USS Mitscher DDG 57, USS Monsoon PC4, USS Monterey CG 61, USS Montpelier SSN 765",296,11.80%,35,3.50%
Navy,Women,"Various AP Ships 96660: USNS Able TAGOS 20, USS Albuquerque SSN 706, USS America LHA 6, USS Anchorage LPD 23, USS Antietam CG 54, USS Ardent MCM 12, USS Asheville SSN 758, USS Ashland LSD 48",291,8.90%,26,1.90%
Navy,Women,"Various AP Ships 96661: USNS 2nd Lt John P Bobo TAK 3008, USNS Bowditch TAGS 62, USNS Brittin TAKR 305, USNS Carl Brashear TAKE 7, USNS Richard E. Byrd TAKE 4, USNS Sgt William R Button TAKE 3012, USS Benfold DDG 65, USS Boxer LHD 4, USS Bremerton SSN 698, USS Buffalo SSN 715, USS Bunker Hill CG 52",299,12.10%,36,4.30%
Navy,Women,"Various AP Ships 96662: Mv Ssg Edward A Carter Jr TAK 4544, USNS Catawba TATF 168, USNS Cesar Chavez TAKE 14, USNS Charlton TAKR 314, USNS Washington Chambers TAKE 11, USS Cape St George CG 71, USS Chafee DDG 90, USS Champion MCM 4, USS Chancellorsville CG 62, USS Charlotte SSN 766, USS Cheyenne SSN 773, USS Chicago SSN 721, USS Chief MCM 14, USS Chosin CG 65, USS Chung-Hoon DDG 93, USS City Of Corpus Christi SSN 705, USS Columbia SSN 771, USS Columbus SSN 762, USS Comstock LSD 45, USS Connecticut SSN 22, USS Coronado LCS 4, USS Cowpens CG 63",311,12.50%,39,5.10%
Navy,Women,"Various AP Ships 96667: USNS Bruce C Heezen TAGS 64, USS Emory S Land As 39, USS Halsey DDG 97, USS Hawaii SSN 776, USS Higgins DDG 76, USS Hopper DDG 70, USS Houston SSN 713, USS Howard DDG 83, USS Paul Hamilton DDG 60, USS Pearl Harbor LSD 52",434,13.70%,59,5.60%
Navy,Women,"Various AP Ships 96672: USNS Mendonca TAKR 303, USNS Mercy T-AH-19, USNS Millinocket T-EPF 3, USNS Montford Point T-ESD 1, USS John S Mccain DDG 56, USS Maine SSBN 741, USS Makin Island LHD 8, USS Mccampbell DDG 85, USS Michael Murphy DDG 112, USS Milius DDG 69, USS Mississippi SSN 782, USS Mobile Bay CG 53, USS Momsen DDG 92, USS Mustin DDG 89",439,9.30%,41,2.40%
Navy,Women,"Various AP Ships 96678: SBX-1, USNS Alan Shepard TAKE 3, USNS Gysgt Fred W Stockham TAK 3017, USNS Mary Sears TAGS 65, USNS Sacagawea TAKE 2, USNS Salvor TARS 52, USNS Sioux TATF 171, USNS Sumner TAGS 61, USNS Wally Schirra TAKE 8, USS Sampson DDG 102, USS San Diego LPD 22, USS Santa Fe SSN 763, USS Scout MCM 8, USS Seawolf SSN 21, USS Shiloh CG 67, USS Shoup DDG 86, USS Somerset LPD 25, USS Spruance DDG 111, USS Sterett DDG 104, USS Stethem DDG 63, USS Stockdale DDG 106",400,11.10%,44,3.90%
Navy,Women,Various East Coast Squadrons,557,8.80%,49,0.80%
Navy,Women,Various West Coast Squadrons,409,8.20%,33,0.90%
Navy,Women,Washington NAVDIST HQ,230,2.30%,5,-0.50%
Navy,Women,Whidbey Island NAS,831,6.90%,57,-0.40%
Navy,Women,Whiting Field NAS,121,4.60%,6,-0.70%
Navy,Women,Yokosuka (JA),482,4.40%,21,-1.10%
Navy,Men,29 Palms MC Cmbt Ctr,508,1.30%,7,0.00%
Navy,Men,Annapolis NSA (Incl. USNA),722,0.50%,4,-0.20%
Navy,Men,Bahrain,693,1.30%,9,0.10%
Navy,Men,Bahrain,1600,1.20%,20,-0.20%
Navy,Men,Camp Lejeune MCB,3058,1.30%,40,-0.10%
Navy,Men,Camp Pendleton,3493,1.20%,41,-0.30%
Navy,Men,Coronado Nav Amphib Base,4481,1.00%,44,-0.50%
Navy,Men,Corpus Christi NAS,785,0.70%,6,-0.20%
Navy,Men,Corry Station NTTC,1511,1.20%,19,-0.90%
Navy,Men,Dam Neck Trng Ctr Atlantic,2529,0.70%,17,-0.20%
Navy,Men,Fallon NAS,646,0.90%,6,-0.10%
Navy,Men,FLC Yokosuka Site Atsugi (JA),622,1.10%,7,0.00%
Navy,Men,FLCY Det Sasebo (JA),652,1.70%,11,0.40%
Navy,Men,Fleet ASW Trng Ctr Pacific,1042,0.70%,7,-0.10%
Navy,Men,Fort George G. Meade,1783,0.80%,15,-0.40%
Navy,Men,Fort Sam Houston,2180,1.00%,22,-0.40%
Navy,Men,Fort Story,2200,0.70%,15,-0.30%
Navy,Men,Guam,1360,1.30%,18,0.10%
Navy,Men,Gulfport NCBC,965,0.90%,9,-0.30%
Navy,Men,Jacksonville NAS,4446,0.90%,40,-0.30%
Navy,Men,Japan,3208,3.10%,100,1.20%
Navy,Men,JB Anacostia-Bolling,594,0.50%,3,-0.10%
Navy,Men,Key West NAS,532,0.70%,4,-0.20%
Navy,Men,Kings Bay NAVSUBBASE,1616,1.10%,18,-0.30%
Navy,Men,Lemoore NAS,2184,0.90%,21,-0.20%
Navy,Men,Little Creek Nav Amphib Base,3261,0.80%,27,-0.30%
Navy,Men,Mayport NAVSTA,1974,0.90%,18,-0.10%
Navy,Men,MCBH Kaneohe Bay,987,1.10%,11,-0.10%
Navy,Men,Meridian NAS,557,1.20%,7,-0.30%
Navy,Men,Naples (IT),1528,0.80%,13,-0.10%
Navy,Men,Naval Hospital Bremerton,476,0.80%,4,-0.20%
Navy,Men,Naval Hospital Pensacola,618,0.90%,6,-0.10%
Navy,Men,Naval Med Ctr Portsmouth,2302,1.00%,22,-0.30%
Navy,Men,Naval Med Ctr San Diego,2413,0.90%,21,-0.20%
Navy,Men,Naval Postgraduate Sch,714,0.40%,3,-0.10%
Navy,Men,Naval Station Great Lakes,8974,1.20%,109,-0.90%
Navy,Men,Naval Station Newport,1793,0.70%,13,-0.30%
Navy,Men,Naval Station Rota (SP),709,0.90%,6,-0.20%
Navy,Men,NAVSURFWEAPCEN Dahlgren,647,0.90%,6,-0.10%
Navy,Men,Navy Mobile Units-AA,3597,1.00%,36,-0.20%
Navy,Men,Navy Mobile Units-AE,909,1.00%,9,0.00%
Navy,Men,NB Kitsap-Bangor,2133,1.20%,26,-0.20%
Navy,Men,NB Kitsap-Bremerton,389,0.70%,3,-0.10%
Navy,Men,NB Pearl Harbor,3029,1.10%,33,0.00%
Navy,Men,New London NAVSUBBASE,3742,2.00%,73,-0.40%
Navy,Men,NNMC Bethesda,1515,0.70%,11,-0.30%
Navy,Men,Norfolk Nav Shipyd,1132,1.60%,18,0.10%
Navy,Men,Norfolk NB,9652,0.90%,86,-0.20%
Navy,Men,North Island NAS,5269,0.90%,46,-0.20%
Navy,Men,NSA Charleston,5665,2.40%,138,-0.40%
Navy,Men,NSA Mid-South,394,0.40%,2,-0.10%
Navy,Men,Oceana NAS,2370,0.90%,22,-0.30%
Navy,Men,Okinawa (JA),1025,1.00%,10,-0.30%
Navy,Men,Pascagoula NAVSTA,517,0.90%,5,-0.30%
Navy,Men,Patuxent River NAS,1859,0.70%,12,-0.20%
Navy,Men,Pensacola NAS,4575,0.90%,40,-0.70%
Navy,Men,Port Hueneme NCBC,942,0.80%,7,-0.20%
Navy,Men,Postal Area 2,1463,0.60%,8,-0.10%
Navy,Men,Postal Area 3,1221,0.50%,6,-0.20%
Navy,Men,Postal Area 9,1084,0.80%,8,-0.30%
Navy,Men,Point Mugu NAS,569,0.90%,5,-0.10%
Navy,Men,San Diego NAVSTA,5042,0.90%,45,-0.20%
Navy,Men,San Diego NAVSUBBASE,1035,0.90%,9,-0.10%
Navy,Men,Scotia Naval ADM Ballston,1672,2.50%,42,-0.80%
Navy,Men,Sigonella (IT),1120,1.20%,14,-0.20%
Navy,Men,Tinker AFB,1114,1.20%,13,-0.10%
Navy,Men,United States,18282,1.40%,263,0.00%
Navy,Men,USS Abraham Lincoln,1847,2.20%,40,0.10%
Navy,Men,USS Bonhomme Richard,981,2.80%,27,0.70%
Navy,Men,USS Carl Vinson,2307,2.00%,45,-0.40%
Navy,Men,USS Dwight D. Eisenhower,2296,1.80%,41,-0.20%
Navy,Men,USS George H. W. Bush,2345,3.20%,75,0.30%
Navy,Men,USS George Washington,2968,3.40%,102,0.40%
Navy,Men,USS Harry S. Truman,2382,2.60%,62,0.20%
Navy,Men,USS John C. Stennis,2271,2.60%,60,0.30%
Navy,Men,USS Nimitz,2237,2.30%,52,-0.10%
Navy,Men,USS Ronald Reagan,2043,1.80%,37,-0.10%
Navy,Men,USS Theodore Roosevelt,2018,3.00%,60,0.90%
Navy,Men,"Various AA Ships 34091: USS Farragut DDG 99, USS Florida SSGN 728, USS Fort McHenry LSD 43, USS Georgia SSGN 729, USS Gladiator MCM 11, USS Hue City CG 66, USS Lassen DDG 82",1533,2.60%,40,0.90%
Navy,Men,"Various AA Ships 34093: USS Shamal PC 13, USS Tennessee SSBN 734, USS The Sullivans DDG 68, USS Tornado PC 14, USS West Virginia SSBN 736, USS Wyoming SSBN 742, USS Zephyr PC 8",1424,2.20%,32,0.40%
Navy,Men,Various AE Aviation Squadrons,969,1.70%,16,0.10%
Navy,Men,"Various AE Ships 09578: USNS 1st Lt Harry L Martin TAK 3015, USNS William McLean TAKE 12, USS Mahan DDG 72, USS Maryland SSBN 738, USS Mason DDG 87, USS McFaul DDG 74, USS Mesa Verde LPD 19, USS Minnesota SSN 783, USS Missouri SSN 780, USS Mitscher DDG 57, USS Monsoon PC4, USS Monterey CG 61, USS Montpelier SSN 765",2089,2.80%,59,0.80%
Navy,Men,"Various AE Ships 09579: USS New Hampshire SSN 778, USS New Mexico SSN 779, USS Newport News SSN 750, USS Nitze DDG 94, USS Norfolk SSN 714, USS Normandy CG 60, USS North Dakota SSN 784",1252,3.20%,40,1.10%
Navy,Men,Various AP Ships and JMPA,1795,2.60%,47,0.60%
Navy,Men,"Various AP Ships 96660: USNS Able TAGOS 20, USS Albuquerque SSN 706, USS America LHA 6, USS Anchorage LPD 23, USS Antietam CG 54, USS Ardent MCM 12, USS Asheville SSN 758, USS Ashland LSD 48",1562,2.50%,39,0.60%
Navy,Men,"Various AP Ships 96661: USNS 2nd Lt John P Bobo TAK 3008, USNS Bowditch TAGS 62, USNS Brittin TAKR 305, USNS Carl Brashear TAKE 7, USNS Richard E. Byrd TAKE 4, USNS Sgt William R Button TAKE 3012, USS Benfold DDG 65, USS Boxer LHD 4, USS Bremerton SSN 698, USS Buffalo SSN 715, USS Bunker Hill CG 52",1507,2.90%,44,1.10%
Navy,Men,"Various AP Ships 96662: Mv Ssg Edward A Carter Jr TAK 4544, USNS Catawba TATF 168, USNS Cesar Chavez TAKE 14, USNS Charlton TAKR 314, USNS Washington Chambers TAKE 11, USS Cape St George CG 71, USS Chafee DDG 90, USS Champion MCM 4, USS Chancellorsville CG 62, USS Charlotte SSN 766, USS Cheyenne SSN 773, USS Chicago SSN 721, USS Chief MCM 14, USS Chosin CG 65, USS Chung-Hoon DDG 93, USS City Of Corpus Christi SSN 705, USS Columbia SSN 771, USS Columbus SSN 762, USS Comstock LSD 45, USS Connecticut SSN 22, USS Coronado LCS 4, USS Cowpens CG 63",2200,3.30%,72,1.30%
Navy,Men,"Various AP Ships 96667: USNS Bruce C Heezen TAGS 64, USS Emory S Land As 39, USS Halsey DDG 97, USS Hawaii SSN 776, USS Higgins DDG 76, USS Hopper DDG 70, USS Houston SSN 713, USS Howard DDG 83, USS Paul Hamilton DDG 60, USS Pearl Harbor LSD 52",1467,2.70%,40,1.10%
Navy,Men,"Various AP Ships 96671: USNS 1ST LT BALDOMERO LOPEZ TAK 3010, USNS 1ST LT JACK LUMMUS TAK 3011, USNS HOWARD O LORENZEN TAGM 25, USNS LEWIS AND CLARK TAKE1, USNS LOYAL TAGOS 22, USS LAKE CHAMPLAIN CG 57, USS LAKE ERIE CG 70, USS LOUISANA SSBN 743, USS LOUISVILLE SSN 724, USS WILLIAM P LAWRENCE DDG 110",1719,3.80%,65,1.60%
Navy,Men,"Various AP Ships 96672: USNS Mendonca TAKR 303, USNS Mercy T-AH-19, USNS Millinocket T-EPF 3, USNS Montford Point T-ESD 1, USS John S Mccain DDG 56, USS Maine SSBN 741, USS Makin Island LHD 8, USS Mccampbell DDG 85, USS Michael Murphy DDG 112, USS Milius DDG 69, USS Mississippi SSN 782, USS Mobile Bay CG 53, USS Momsen DDG 92, USS Mustin DDG 89",2412,2.00%,48,0.30%
